year,route_id,route_name_current,company_name_current,metric,rank,sttn_id,sttn_nm,count,route_total,share_pct,stop_on_current_route
2025,42002139,944-1,강릉-동진버스,ride,2,4200994,보광본동,434,3996,10.860861,True
2025,42002139,944-1,강릉-동진버스,ride,3,4200974,샘골식당,247,3996,6.181181,True
2025,42002139,944-1,강릉-동진버스,ride,4,4200538,망월이마을,240,3996,6.006006,True
2025,42002139,944-1,강릉-동진버스,ride,5,4200987,삼왕,223,3996,5.580581,True
2025,42002141,시티1,강릉-동진버스,goff,1,4200244,안목커피거리,9140,67549,13.530918,True
2025,42002141,시티1,강릉-동진버스,goff,2,4200613,강문해변,7102,67549,10.513849,True
2025,42002141,시티1,강릉-동진버스,goff,3,4201242,경포해변,5686,67549,8.417593,True
2025,42002141,시티1,강릉-동진버스,goff,4,4201276,주문진수산시장,4812,67549,7.123718,True
2025,42002141,시티1,강릉-동진버스,goff,5,4201262,안목해변,3918,67549,5.800234,True
2025,42002141,시티1,강릉-동진버스,ride,1,4201275,주문진수산시장,6798,83579,8.133622,True
2025,42002141,시티1,강릉-동진버스,ride,2,4201242,경포해변,5207,83579,6.230034,True
2025,42002141,시티1,강릉-동진버스,ride,3,4200323,경포해변,4506,83579,5.391306,True
2025,42002141,시티1,강릉-동진버스,ride,4,4201263,안목해변,4307,83579,5.153208,True
2025,42002141,시티1,강릉-동진버스,ride,5,4200244,안목커피거리,4255,83579,5.090992,True
2025,42002142,924,강릉-동진버스,goff,1,4200212,연곡면사무소,44,79,55.696203,True
2025,42002142,924,강릉-동진버스,goff,2,4201271,영진해변,15,79,18.987342,True
2025,42002142,924,강릉-동진버스,goff,3,4200450,연곡해변,8,79,10.126582,True
2025,42002142,924,강릉-동진버스,goff,4,4201270,영진항,7,79,8.860759,True
2025,42002142,924,강릉-동진버스,goff,5,4200211,삼천리아파트,5,79,6.329114,True
2025,42002142,924,강릉-동진버스,ride,1,4200212,연곡면사무소,93,136,68.382353,True
2025,42002142,924,강릉-동진버스,ride,2,4200450,연곡해변,17,136,12.5,True
2025,42002142,924,강릉-동진버스,ride,3,4201271,영진해변,15,136,11.029412,True
2025,42002142,924,강릉-동진버스,ride,4,4201270,영진항,6,136,4.411765,True
2025,42002142,924,강릉-동진버스,ride,5,4200211,삼천리아파트,5,136,3.676471,True
2025,42002143,945-1,강릉-동진버스,goff,1,4200252,신영극장,558,1486,37.550471,True
2025,42002143,945-1,강릉-동진버스,goff,2,4200533,가마골,283,1486,19.044415,True
2025,42002143,945-1,강릉-동진버스,goff,3,4200967,대관령박물관,208,1486,13.997308,True
2025,42002143,945-1,강릉-동진버스,goff,4,4201008,성산면사무소,111,1486,7.469717,True
2025,42002143,945-1,강릉-동진버스,goff,5,4200972,어흘리.굴면동,98,1486,6.594886,True
2025,42002143,945-1,강릉-동진버스,ride,1,4200253,교보생명,1535,3094,49.612153,True
2025,42002143,945-1,강릉-동진버스,ride,2,4200533,가마골,396,3094,12.798966,True
2025,42002143,945-1,강릉-동진버스,ride,3,4200967,대관령박물관,177,3094,5.72075,True
2025,42002143,945-1,강릉-동진버스,ride,4,4200977,보광리체험학습장,175,3094,5.656109,True
2025,42002143,945-1,강릉-동진버스,ride,5,4200540,보광리,137,3094,4.427925,True
2025,42002144,206-1,강릉-동진버스,goff,1,4200252,신영극장,3524,20695,17.028268,True
2025,42002144,206-1,강릉-동진버스,goff,2,4200253,교보생명,2422,20695,11.70331,True
2025,42002144,206-1,강릉-동진버스,goff,3,4200120,강릉시외.고속터미널,1660,20695,8.021261,True
2025,42002144,206-1,강릉-동진버스,goff,4,4200047,강릉고정문,1384,20695,6.687606,True
2025,42002144,206-1,강릉-동진버스,goff,5,4200530,주공2차아파트,775,20695,3.744866,True
2025,42002144,206-1,강릉-동진버스,ride,1,4200253,교보생명,6411,38948,16.460409,True
2025,42002144,206-1,강릉-동진버스,ride,2,4200252,신영극장,4382,38948,11.250899,True
2025,42002144,206-1,강릉-동진버스,ride,3,4200121,강릉시외.고속터미널,3621,38948,9.297011,True
2025,42002144,206-1,강릉-동진버스,ride,4,4200251,한국은행,2226,38948,5.715313,True
2025,42002144,206-1,강릉-동진버스,ride,5,4200011,동부아파트,1856,38948,4.765328,True
2025,42002144,206-1,강릉-동진버스,ride,5,4200128,구름다리,1856,38948,4.765328,True
2025,42002145,913,강릉-동진버스,goff,1,4200194,주문진항입구,1010,2474,40.824576,True
2025,42002145,913,강릉-동진버스,goff,2,4200520,우신아파트,537,2474,21.70574,True
2025,42002145,913,강릉-동진버스,goff,3,4200197,작은다리,425,2474,17.178658,True
2025,42002145,913,강릉-동진버스,goff,4,4201232,원마트,237,2474,9.579628,True
2025,42002145,913,강릉-동진버스,goff,5,4200448,주문진시외버스터미널,113,2474,4.567502,True
2025,42002145,913,강릉-동진버스,ride,1,4200520,우신아파트,3586,4991,71.849329,True
2025,42002145,913,강릉-동진버스,ride,2,4200196,작은다리,541,4991,10.839511,True
2025,42002145,913,강릉-동진버스,ride,3,4200195,주문진항입구,331,4991,6.631937,True
2025,42002145,913,강릉-동진버스,ride,4,4200448,주문진시외버스터미널,248,4991,4.968944,True
2025,42002145,913,강릉-동진버스,ride,5,4200198,원마트,185,4991,3.706672,True
2025,42002146,971,강릉-동진버스,goff,1,4200814,구정면사무소,57,272,20.955882,True
2025,42002146,971,강릉-동진버스,goff,2,4200813,구정면사무소,44,272,16.176471,True
2025,42002146,971,강릉-동진버스,goff,3,4200642,한빛마을입구,34,272,12.5,True
2025,42002146,971,강릉-동진버스,goff,4,4200812,구정보건지소,27,272,9.926471,True
2025,42002146,971,강릉-동진버스,goff,5,4200811,구정자율방범대,24,272,8.823529,True
2025,42002146,971,강릉-동진버스,ride,1,4200814,구정면사무소,58,433,13.394919,True
2025,42002146,971,강릉-동진버스,ride,2,4200009,강릉솔향수목원,56,433,12.933025,True
2025,42002146,971,강릉-동진버스,ride,3,4200812,구정보건지소,53,433,12.240185,True
2025,42002146,971,강릉-동진버스,ride,4,4200641,한빛마을입구,51,433,11.778291,True
2025,42002146,971,강릉-동진버스,ride,5,4200709,학산2리마을회관,40,433,9.237875,True
2025,42002147,965,강릉-동진버스,goff,1,4202052,옥계면사무소,5,9,55.555556,True
2025,42002147,965,강릉-동진버스,goff,2,4202032,옥계현내시장,3,9,33.333333,True
2025,42002147,965,강릉-동진버스,goff,3,4201199,남대천.강릉교,1,9,11.111111,True
2025,42002147,965,강릉-동진버스,ride,1,4201199,남대천.강릉교,60,72,83.333333,True
2025,42002147,965,강릉-동진버스,ride,2,4200293,강릉역건너편,7,72,9.722222,True
2025,42002147,965,강릉-동진버스,ride,3,4200095,한국자산관리공사,3,72,4.166667,True
2025,42002147,965,강릉-동진버스,ride,4,4201197,강릉중입구,2,72,2.777778,True
2025,42002151,212,강릉-동진버스,goff,1,4200047,강릉고정문,1707,10585,16.126594,True
2025,42002151,212,강릉-동진버스,goff,2,4200253,교보생명,1422,10585,13.434105,True
2025,42002151,212,강릉-동진버스,goff,3,4200121,강릉시외.고속터미널,1219,10585,11.516297,True
2025,42002151,212,강릉-동진버스,goff,4,4201044,안목커피거리,1018,10585,9.617383,True
2025,42002151,212,강릉-동진버스,goff,5,4202156,세인트존스호텔,740,10585,6.991025,True
2025,42002151,212,강릉-동진버스,ride,1,4200721,강릉역,3104,18902,16.421543,True
2025,42002151,212,강릉-동진버스,ride,2,4200121,강릉시외.고속터미널,1789,18902,9.464607,True
2025,42002151,212,강릉-동진버스,ride,3,4200253,교보생명,1631,18902,8.628717,True
2025,42002151,212,강릉-동진버스,ride,4,4202154,롯데캐슬시그니처,1577,18902,8.343032,True
2025,42002151,212,강릉-동진버스,ride,5,4200274,송정노인회관,951,18902,5.031214,True
2025,42002152,212-1,강릉-동진버스,goff,1,4200252,신영극장,2241,9117,24.580454,True
2025,42002152,212-1,강릉-동진버스,goff,2,4201044,안목커피거리,1197,9117,13.129319,True
2025,42002152,212-1,강릉-동진버스,goff,3,4200121,강릉시외.고속터미널,682,9117,7.480531,True
2025,42002152,212-1,강릉-동진버스,goff,4,4200721,강릉역,604,9117,6.624986,True
2025,42002152,212-1,강릉-동진버스,goff,5,4200249,용강동서부시장,519,9117,5.692662,True
2025,42002152,212-1,강릉-동진버스,ride,1,4200121,강릉시외.고속터미널,3327,14342,23.197601,True
