year,route_id,route_name_current,company_name_current,metric,rank,sttn_id,sttn_nm,count,route_total,share_pct,stop_on_current_route,period_start,period_end,days_supplied,route_name_source_2025,days_with_record
2025,42002003,103,강릉-동진버스,goff,2,4200252,신영극장,63,449,14.03118,True,2025-05-27,2025-06-03,8,차고지대기(미정-차고지대기(미정,8
2025,42002003,103,강릉-동진버스,goff,3,4201199,남대천.강릉교,50,449,11.135857,True,2025-05-27,2025-06-03,8,차고지대기(미정-차고지대기(미정,8
2025,42002003,103,강릉-동진버스,goff,4,4200249,용강동서부시장,22,449,4.899777,True,2025-05-27,2025-06-03,8,차고지대기(미정-차고지대기(미정,8
2025,42002003,103,강릉-동진버스,goff,5,4201196,강릉중입구,17,449,3.786192,True,2025-05-27,2025-06-03,8,차고지대기(미정-차고지대기(미정,7
2025,42002003,103,강릉-동진버스,ride,1,4201199,남대천.강릉교,387,1241,31.184529,True,2025-05-27,2025-06-03,8,차고지대기(미정-차고지대기(미정,8
2025,42002003,103,강릉-동진버스,ride,2,4200252,신영극장,75,1241,6.043513,True,2025-05-27,2025-06-03,8,차고지대기(미정-차고지대기(미정,8
2025,42002003,103,강릉-동진버스,ride,3,4201197,강릉중입구,63,1241,5.076551,True,2025-05-27,2025-06-03,8,차고지대기(미정-차고지대기(미정,8
2025,42002003,103,강릉-동진버스,ride,4,4200641,한빛마을입구,48,1241,3.867849,True,2025-05-27,2025-06-03,8,차고지대기(미정-차고지대기(미정,8
2025,42002003,103,강릉-동진버스,ride,4,4200675,박월동마을회관,48,1241,3.867849,True,2025-05-27,2025-06-03,8,차고지대기(미정-차고지대기(미정,8
2025,42002004,104,강릉-동진버스,goff,1,4200252,신영극장,76,170,44.705882,True,2025-05-27,2025-06-03,8,안목-안목커피거리,8
2025,42002004,104,강릉-동진버스,goff,2,4200253,교보생명,13,170,7.647059,True,2025-05-27,2025-06-03,8,안목-안목커피거리,8
2025,42002004,104,강릉-동진버스,goff,3,4200361,보건소,12,170,7.058824,True,2025-05-27,2025-06-03,8,안목-안목커피거리,7
2025,42002004,104,강릉-동진버스,goff,4,4200107,KT,10,170,5.882353,True,2025-05-27,2025-06-03,8,안목-안목커피거리,7
2025,42002004,104,강릉-동진버스,goff,5,4200102,강릉고입구,6,170,3.529412,True,2025-05-27,2025-06-03,8,안목-안목커피거리,4
2025,42002004,104,강릉-동진버스,ride,1,4200359,하나로마트내곡점,74,349,21.203438,True,2025-05-27,2025-06-03,8,안목-안목커피거리,8
2025,42002004,104,강릉-동진버스,ride,2,4200821,구정마을회관,39,349,11.174785,True,2025-05-27,2025-06-03,8,안목-안목커피거리,8
