route_id,route_name,company_name,start_stop_name,end_stop_name,stop_visits,geometry_points,retrieved_at,source_url
42091005,300,강릉-동해상사,안목,향호리,62,472,2026-09-25T06:21:59.529957+00:00,https://bis.gn.go.kr/search/route/map?routeId=42091005
42092076,300-1,강릉-동해상사,향호리,안목커피거리,57,439,2026-09-25T06:22:01.454178+00:00,https://bis.gn.go.kr/search/route/map?routeId=42092076
42002090,300-2,강릉-동진버스,향호리,공단,51,410,2026-09-25T06:22:03.183389+00:00,https://bis.gn.go.kr/search/route/map?routeId=42002090
42002131,504-1,강릉-동진버스,안목,성산,61,385,2026-09-25T06:22:05.008798+00:00,https://bis.gn.go.kr/search/route/map?routeId=42002131
42002109,922,강릉-동진버스,연곡면사무소,소금강산종점,57,796,2026-09-25T06:22:06.594753+00:00,https://bis.gn.go.kr/search/route/map?routeId=42002109
42092109,922,강릉-동해상사,연곡면사무소,소금강산종점,57,796,2026-09-25T06:22:08.141554+00:00,https://bis.gn.go.kr/search/route/map?routeId=42092109
42092114,930-1,강릉-동해상사,사천면사무소,경포해변(종점),18,143,2026-09-25T06:22:08.723182+00:00,https://bis.gn.go.kr/search/route/map?routeId=42092114
42092105,931,강릉-동해상사,경포해변,사기막,36,332,2026-09-25T06:22:09.799448+00:00,https://bis.gn.go.kr/search/route/map?routeId=42092105
42002135,941-2,강릉-동진버스,KTX공영주차장환승장,왕산사,40,658,2026-09-25T06:22:10.969497+00:00,https://bis.gn.go.kr/search/route/map?routeId=42002135
42002143,945-1,강릉-동진버스,KTX공영주차장환승장,KTX공영주차장환승장,29,598,2026-09-25T06:22:11.912376+00:00,https://bis.gn.go.kr/search/route/map?routeId=42002143
42002125,955,강릉-동진버스,남대천.강릉교,월호평동,28,637,2026-09-25T06:22:12.820604+00:00,https://bis.gn.go.kr/search/route/map?routeId=42002125
42002127,956-1,강릉-동진버스,강동무료주차장,옥계현내시장,14,517,2026-09-25T06:22:13.424447+00:00,https://bis.gn.go.kr/search/route/map?routeId=42002127
42002130,958,강릉-동진버스,강동무료주차장,금진해양파출소,25,797,2026-09-25T06:22:14.292447+00:00,https://bis.gn.go.kr/search/route/map?routeId=42002130
42092099,961,강릉-동해상사,옥계현내시장,남양2리경로당,24,456,2026-09-25T06:22:15.199184+00:00,https://bis.gn.go.kr/search/route/map?routeId=42092099
42092100,962,강릉-동해상사,옥계현내시장,산계리종점,27,773,2026-09-25T06:22:16.143003+00:00,https://bis.gn.go.kr/search/route/map?routeId=42092100
42092141,시티1,강릉-동해상사,안목커피거리,주문진해변,70,965,2026-09-25T06:22:17.904696+00:00,https://bis.gn.go.kr/search/route/map?routeId=42092141
42002141,시티1,강릉-동진버스,안목커피거리,주문진해변,70,965,2026-09-25T06:22:19.272477+00:00,https://bis.gn.go.kr/search/route/map?routeId=42002141
42002002,102 (운행 중단),강릉-동진버스,안목.강릉항,어단리.법왕사,84,801,2026-09-25T06:22:20.989619+00:00,https://bis.gn.go.kr/search/route/map?routeId=42002002
42002004,104,강릉-동진버스,안목,솔향수목원입구,79,531,2026-09-25T06:22:22.781403+00:00,https://bis.gn.go.kr/search/route/map?routeId=42002004
42002005,104-1,강릉-동진버스,안목,제비리,83,613,2026-09-25T06:22:24.569587+00:00,https://bis.gn.go.kr/search/route/map?routeId=42002005
42091001,200,강릉-동해상사,안목,강원대학교,67,492,2026-09-25T06:22:26.350715+00:00,https://bis.gn.go.kr/search/route/map?routeId=42091001
42001013,201 (운행 중단),강릉-동진버스,안목,강원대학교,63,445,2026-09-25T06:22:27.792085+00:00,https://bis.gn.go.kr/search/route/map?routeId=42001013
42091013,201 (운행 중단),강릉-동해상사,안목,강원대학교,63,446,2026-09-25T06:22:29.232530+00:00,https://bis.gn.go.kr/search/route/map?routeId=42091013
42092072,202-1,강릉-동해상사,경포해변,경포해변(종점),44,427,2026-09-25T06:22:30.572668+00:00,https://bis.gn.go.kr/search/route/map?routeId=42092072
42002096,202-2,강릉-동진버스,경포해변,경포해변(종점),40,395,2026-09-25T06:22:31.686424+00:00,https://bis.gn.go.kr/search/route/map?routeId=42002096
42092096,202-2,강릉-동해상사,경포해변,경포해변(종점),40,395,2026-09-25T06:22:32.776541+00:00,https://bis.gn.go.kr/search/route/map?routeId=42092096
42002024,203 (운행 폐지),강릉-동진버스,안목,유천동,68,589,2026-09-25T06:22:34.313121+00:00,https://bis.gn.go.kr/search/route/map?routeId=42002024
42002026,205,강릉-동진버스,공단,강원대학교,51,433,2026-09-25T06:22:35.551665+00:00,https://bis.gn.go.kr/search/route/map?routeId=42002026
42091003,206,강릉-동해상사,강릉고등학교,부영2차아파트,63,382,2026-09-25T06:22:37.238329+00:00,https://bis.gn.go.kr/search/route/map?routeId=42091003
42002144,206-1,강릉-동진버스,강릉고등학교,부영2차아파트,63,393,2026-09-25T06:22:38.676708+00:00,https://bis.gn.go.kr/search/route/map?routeId=42002144
42091004,207,강릉-동해상사,허균.허난설헌기념공원,강원대학교,70,457,2026-09-25T06:22:40.341385+00:00,https://bis.gn.go.kr/search/route/map?routeId=42091004
42002030,211,강릉-동진버스,안목,한국폴리텍대학,62,361,2026-09-25T06:22:41.779791+00:00,https://bis.gn.go.kr/search/route/map?routeId=42002030
42002078,211-1,강릉-동진버스,안목,한국폴리텍대학,64,397,2026-09-25T06:22:43.462133+00:00,https://bis.gn.go.kr/search/route/map?routeId=42002078
42092151,212,강릉-동해상사,안목,안목커피거리,44,307,2026-09-25T06:22:44.695677+00:00,https://bis.gn.go.kr/search/route/map?routeId=42092151
42002151,212,강릉-동진버스,안목,안목커피거리,44,307,2026-09-25T06:22:45.897657+00:00,https://bis.gn.go.kr/search/route/map?routeId=42002151
42092152,212-1,강릉-동해상사,안목,안목커피거리,44,306,2026-09-25T06:22:47.070973+00:00,https://bis.gn.go.kr/search/route/map?routeId=42092152
42002152,212-1,강릉-동진버스,안목,안목커피거리,44,306,2026-09-25T06:22:48.274234+00:00,https://bis.gn.go.kr/search/route/map?routeId=42002152
42002036,223,강릉-동진버스,안목,가톨릭관동대학교,30,184,2026-09-25T06:22:49.379027+00:00,https://bis.gn.go.kr/search/route/map?routeId=42002036
42002037,224,강릉-동진버스,안목,가톨릭관동대학교,69,432,2026-09-25T06:22:50.881176+00:00,https://bis.gn.go.kr/search/route/map?routeId=42002037
42002084,224-1,강릉-동진버스,안목,서희아파트,75,469,2026-09-25T06:22:52.468639+00:00,https://bis.gn.go.kr/search/route/map?routeId=42002084
42002086,225,강릉-동진버스,안목,회산종점,45,295,2026-09-25T06:22:53.667821+00:00,https://bis.gn.go.kr/search/route/map?routeId=42002086
42091015,225,강릉-동해상사,안목,회산종점,45,295,2026-09-25T06:22:54.838762+00:00,https://bis.gn.go.kr/search/route/map?routeId=42091015
42091016,225-1,강릉-동해상사,회산종점,안목커피거리,41,288,2026-09-25T06:22:55.928461+00:00,https://bis.gn.go.kr/search/route/map?routeId=42091016
42002087,225-1,강릉-동진버스,회산종점,안목커피거리,41,288,2026-09-25T06:22:57.032036+00:00,https://bis.gn.go.kr/search/route/map?routeId=42002087
42002040,228,강릉-동진버스,남항진해변,미디어촌5단지,44,389,2026-09-25T06:22:58.367071+00:00,https://bis.gn.go.kr/search/route/map?routeId=42002040
42002042,230,강릉-동진버스,강문해변,부영2차아파트,58,369,2026-09-25T06:22:59.776452+00:00,https://bis.gn.go.kr/search/route/map?routeId=42002042
42002104,234,강릉-동진버스,강릉역,강릉역,21,164,2026-09-25T06:23:00.499189+00:00,https://bis.gn.go.kr/search/route/map?routeId=42002104
42092104,234 (운행 중단),강릉-동해상사,강릉역,강릉역,21,164,2026-09-25T06:23:01.208818+00:00,https://bis.gn.go.kr/search/route/map?routeId=42092104
42092153,300-1(강릉역),강릉-동해상사,향호리,안목커피거리,60,460,2026-09-25T06:23:02.645659+00:00,https://bis.gn.go.kr/search/route/map?routeId=42092153
42002153,300-2(강릉역),강릉-동진버스,향호리,공단,54,431,2026-09-25T06:23:03.911085+00:00,https://bis.gn.go.kr/search/route/map?routeId=42002153
42091006,301 (운행 폐지),강릉-동해상사,향호리,강릉고입구,56,428,2026-09-25T06:23:05.273926+00:00,https://bis.gn.go.kr/search/route/map?routeId=42091006
42001007,302,강릉-동진버스,공단,향호리,70,541,2026-09-25T06:23:06.905367+00:00,https://bis.gn.go.kr/search/route/map?routeId=42001007
42091007,302,강릉-동해상사,안목,향호리,71,536,2026-09-25T06:23:08.514224+00:00,https://bis.gn.go.kr/search/route/map?routeId=42091007
42092077,302-1,강릉-동해상사,향호리,안목커피거리,64,500,2026-09-25T06:23:10.116957+00:00,https://bis.gn.go.kr/search/route/map?routeId=42092077
