route_id,route_name,company_name,response_order,station_order,sttn_id,sttn_nm,longitude,latitude,turn_seq,up_down,first_time,last_time
42002121,952,강릉-동진버스,8,8,4201170,덕현리마을회관,128.92969308316043,37.71031249336467,11,,07:50,19:00
42002121,952,강릉-동진버스,9,9,4200513,덕현리,128.92602088648235,37.70591024035886,11,,07:50,19:00
42002121,952,강릉-동진버스,10,10,4200036,언별리,128.932462653647,37.69147304189006,11,,07:50,19:00
42002121,952,강릉-동진버스,11,11,4201165,송담서원,128.92985457221653,37.6927197945936,11,,07:50,19:00
42002121,952,강릉-동진버스,12,12,4201164,언별2리,128.93990494422928,37.70171510089973,11,,07:50,19:00
42002121,952,강릉-동진버스,13,13,4201162,모전리.돌평,128.95076445202812,37.70977883566453,11,,07:50,19:00
42002121,952,강릉-동진버스,14,14,4201159,모전리,128.95776740747448,37.71232268018703,11,,07:50,19:00
42002121,952,강릉-동진버스,15,15,4201157,동그린,128.96124692830767,37.71693200282111,11,,07:50,19:00
42002121,952,강릉-동진버스,16,16,4201155,모전1리,128.96150382823714,37.719819173700856,11,,07:50,19:00
42002121,952,강릉-동진버스,17,17,4201153,버당말,128.96287505180277,37.72274811896261,11,,07:50,19:00
42002121,952,강릉-동진버스,18,18,4201073,모전삼거리,128.96506056244797,37.72569325398637,11,,07:50,19:00
42002121,952,강릉-동진버스,19,19,4200016,강동종합복지회관,128.9534097899608,37.72765187744945,11,,07:50,19:00
42002121,952,강릉-동진버스,20,20,4202167,남부노인종합복지관,128.91383118471262,37.752564379737024,11,,07:50,19:00
42002121,952,강릉-동진버스,21,21,4201198,남대천.강릉교,128.9010015999516,37.75454267936518,11,,07:50,19:00
42002123,953,강릉-동진버스,1,1,4201199,남대천.강릉교,128.9010687000649,37.75417893755025,19,,06:25,19:05
42002123,953,강릉-동진버스,2,2,4202167,남부노인종합복지관,128.91383118471262,37.752564379737024,19,,06:25,19:05
42002123,953,강릉-동진버스,3,3,4200026,강동종합복지회관,128.95225785335822,37.72821012800672,19,,06:25,19:05
42002123,953,강릉-동진버스,4,4,4201177,강동면사무소,128.9546118972993,37.72728097155823,19,,06:25,19:05
42002123,953,강릉-동진버스,5,5,4201072,모전삼거리,128.96457294836412,37.72564861436484,19,,06:25,19:05
42002123,953,강릉-동진버스,6,6,4201151,장터마을,128.9723977075807,37.72307968130474,19,,06:25,19:05
42002123,953,강릉-동진버스,7,7,4201149,안인화력발전소,128.97827482863894,37.727294808983075,19,,06:25,19:05
