route_id,route_name,company_name,company_id,start_stop_name,end_stop_name,first_time,last_time,total_run_raw
42092107,921,강릉-동해상사,4200100,연곡면사무소,송천종점,11:00,19:05,6회
42002110,923,강릉-동진버스,4200200,연곡면사무소,신왕종점,06:50,19:20,6회
42092142,924,강릉-동해상사,4200100,연곡면사무소,연곡면사무소,08:40,16:30,2회
42002142,924,강릉-동진버스,4200200,연곡면사무소,연곡면사무소,10:50,15:00,3회
42092113,930,강릉-동해상사,4200100,경포해변,사천면사무소,08:10,16:25,3회
42092111,931-1,강릉-동해상사,4200100,사기막,경포해변(종점),07:10,20:00,6회
42092106,932,강릉-동해상사,4200100,사천면사무소,사천면사무소,08:45,16:50,3회
42092112,933,강릉-동해상사,4200100,사천면사무소,사천면사무소,09:10,17:20,3회
42092115,934,강릉-동해상사,4200100,경포해변,KTX공영주차장환승장,09:30,14:10,3회
42092116,934-1,강릉-동해상사,4200100,KTX공영주차장환승장,경포해변(종점),10:50,15:20,3회
42092117,935,강릉-동해상사,4200100,KTX공영주차장환승장,사기막,06:30,17:40,5회
42092118,935-1,강릉-동해상사,4200100,사기막,KTX공영주차장환승장,07:40,18:25,5회
42002114,941,강릉-동진버스,4200200,KTX공영주차장환승장,왕산사,07:45,19:25,8회
42002115,941-1,강릉-동진버스,4200200,KTX공영주차장환승장,고단,"06:10
로얄APT발",17:10,4회
42002116,942,강릉-동진버스,4200200,KTX공영주차장환승장,고단,"06:15 로얄APT발
한터마을(동초밭농장)경유/안고단 경유","18:25
한터마을(동초밭농장)경유",6회
42002136,943,강릉-동진버스,4200200,KTX공영주차장환승장,지암사입구,"08:45
지암사 입구 경유","17:35
위촌리 종점 출발",6회
42002137,943-1,강릉-동진버스,4200200,KTX공영주차장환승장,한밭입구,10:25,19:18,6회
42002138,943-2,강릉-동진버스,4200200,우미린아파트,한밭입구,06:50,07:22,2회
42002117,944,강릉-동진버스,4200200,KTX공영주차장환승장,삼왕,"06:15
교보생명 출발","19:35
강릉휴게소 경유",12회
42002139,944-1,강릉-동진버스,4200200,KTX공영주차장환승장,삼왕,09:35,17:25,4회
42002118,945,강릉-동진버스,4200200,KTX공영주차장환승장,가마골,"06:30
교보생명 출발","17:40
옛길입구 경유",8회
42002119,946,강릉-동진버스,4200200,KTX공영주차장환승장,KTX공영주차장환승장,06:30,17:50,6회
42002120,947,강릉-동진버스,4200200,KTX공영주차장환승장,산북,08:00,19:00,6회
42002140,948 (운행 폐지),강릉-동진버스,4200200,우미린아파트,유천동,,,-
42002133,951,강릉-동진버스,4200200,남대천.강릉교,송담서원,"06:45
강동환승센터 출발",15:55,8회
42002121,952,강릉-동진버스,4200200,남대천.강릉교,송담서원,07:50,19:00,6회
42002123,953,강릉-동진버스,4200200,남대천.강릉교,임곡,06:25,19:05,10회
42002124,954,강릉-동진버스,4200200,남대천.강릉교,공군부대후문,08:05,17:50,9회
42002126,956 (운행 폐지),강릉-동진버스,4200200,강동무료주차장,오리동,,,-
42002128,957,강릉-동진버스,4200200,강동무료주차장,옥계현내시장,07:40,18:05,6회
42002129,957-1,강릉-동진버스,4200200,강동무료주차장,피내,-,07:05,1회
42002099,961 (운행 폐지),강릉-동진버스,4200200,옥계현내시장,남양2리경로당,,,-
42091017,961-1,강릉-동해상사,4200100,옥계현내시장,남양2리경로당,18:00,18:00,1회
42002100,962 (운행 폐지),강릉-동진버스,4200200,옥계현내시장,산계리종점,,,-
42091018,962-1,강릉-동해상사,4200100,산계리종점,노봉차고지(미정차),15:25,15:25,1회
42092101,963,강릉-동해상사,4200100,옥계현내시장,북동리종점,07:40,16:20,10회
42002101,963 (운행 폐지),강릉-동진버스,4200200,옥계현내시장,북동리종점,,,-
42092102,964,강릉-동해상사,4200100,옥계현내시장,금진해양파출소,09:25,16:45,9회
42002102,964 (운행 폐지),강릉-동진버스,4200200,옥계현내시장,금진해양파출소,,,-
42002147,965,강릉-동진버스,4200200,강릉역건너편,옥계현내시장,21:00,21:00,1회
