year,route_id,route_name_current,company_name_current,route_in_current_bis,identified_stop_count,ride_total,goff_total,unknown_stop_ride,unknown_stop_goff,top_ride_stop_ids,top_ride_stop_names,top_ride_count_each,top_goff_stop_ids,top_goff_stop_names,top_goff_count_each
2025,42092144,206-1,강릉-동해상사,True,63,31945,15791,1,0,4200253,교보생명,4943,4200252,신영극장,3999
2025,42092151,212,강릉-동해상사,True,43,15794,10213,1,0,4200721,강릉역,3045,4200253,교보생명,1725
2025,42092152,212-1,강릉-동해상사,True,43,19076,11619,0,0,4200252,신영극장,4441,4201044,안목커피거리,2264
2025,42092153,300-1(강릉역),강릉-동해상사,True,59,2300,1152,0,0,4200252,신영극장,226,4200252,신영극장,366
2025,42101048,,,False,14,2274,287,0,0,4202032,옥계현내시장,893,4202032,옥계현내시장,178
2025,42101049,,,False,14,2508,1021,0,0,4202022,옥계현내시장,1030,4202032,옥계현내시장,662
2025,42101054,,,False,14,1498,725,0,0,4202022,옥계현내시장,1111,4202032,옥계현내시장,488
2025,42805078,,,False,7,236,4,0,0,4201388,안고단,131,4201396,고단경로당,2
2025,43104005,,,False,1,1264,714,0,0,4312050,향호리종점,1264,4312050,향호리종점,714
2025,43107001,,,False,2,4583,719,0,0,4311940,향호리종점,2465,4312050,향호리종점,681
2025,43107002,,,False,2,930,148,0,0,4311940,향호리종점,522,4312050,향호리종점,142
2025,43107003,,,False,2,6722,1303,0,0,4311940,향호리종점,4162,4312050,향호리종점,1223
