year,route_id,route_name_current,company_name_current,route_in_current_bis,sttn_id,sttn_nm,name_source,stop_in_current_bis_inventory,stop_on_current_route,current_station_orders,source_2025_station_sequences,longitude,latitude,ride_nope,goff_nope,ride_rank,goff_rank,ride_share_pct,goff_share_pct,period_start,period_end,days_supplied,route_name_source_2025,days_with_record
2025,42002141,시티1,강릉-동진버스,True,4202159,사천진바위섬,BIS inventory,True,True,53,48,128.87633882234948,37.84060226740597,29,11,23,28,1.519916,0.706033,2025-05-27,2025-06-03,8,안목커피거리-안목커피거리,7
2025,42002141,시티1,강릉-동진버스,True,4202160,사천진바위섬,BIS inventory,True,True,19,17,128.8764473285357,37.8406481132808,7,6,41,40,0.366876,0.385109,2025-05-27,2025-06-03,8,안목커피거리-안목커피거리,6
2025,42002141,시티1,강릉-동진버스,True,4209998,강문해변,BIS inventory,True,True,7,5,128.91631032849583,37.79540813828357,45,19,17,18,2.358491,1.219512,2025-05-27,2025-06-03,8,안목커피거리-안목커피거리,8
2025,42002141,시티1,강릉-동진버스,True,4209999,사천진해변,BIS inventory,True,True,20,18,128.87344886491002,37.842977470664934,12,3,33,46,0.628931,0.192555,2025-05-27,2025-06-03,8,안목커피거리-안목커피거리,5
2025,42002142,924,강릉-동진버스,True,4200212,연곡면사무소,BIS inventory,True,True,1 | 6,5,128.83761397394952,37.85995465828368,2,3,2,1,40.0,100.0,2025-05-27,2025-06-03,8,연곡면사무소-연곡면사무소,4
2025,42002142,924,강릉-동진버스,True,4200450,연곡해변,BIS inventory,True,True,5,4,128.8529783059013,37.85739414992972,3,0,1,,60.0,0.0,2025-05-27,2025-06-03,8,연곡면사무소-연곡면사무소,2
2025,42002143,945-1,강릉-동진버스,True,4200014,보현사종점,BIS inventory,True,True,14,13,128.79263641819853,37.73803701177597,3,0,9,,2.631579,0.0,2025-05-27,2025-06-03,8,KTX공영주차장-KTX공영주차장,3
2025,42002143,945-1,강릉-동진버스,True,4200252,신영극장,BIS inventory,True,True,28,27,128.8961287589657,37.75448236011555,1,15,13,1,0.877193,32.608696,2025-05-27,2025-06-03,8,KTX공영주차장-KTX공영주차장,7
2025,42002143,945-1,강릉-동진버스,True,4200253,교보생명,BIS inventory,True,True,2,1,128.89811415297848,37.756002485379526,54,0,1,,47.368421,0.0,2025-05-27,2025-06-03,8,KTX공영주차장-KTX공영주차장,8
2025,42002143,945-1,강릉-동진버스,True,4200524,망월이마을,BIS inventory,True,True,11,10,128.7922011149757,37.729439560975074,2,0,11,,1.754386,0.0,2025-05-27,2025-06-03,8,KTX공영주차장-KTX공영주차장,1
2025,42002143,945-1,강릉-동진버스,True,4200528,앞무쇠골,BIS inventory,True,True,13,12,128.7909149887738,37.735806871417466,6,2,6,6,5.263158,4.347826,2025-05-27,2025-06-03,8,KTX공영주차장-KTX공영주차장,4
