date,sttn_id,sttn_nm,longitude,latitude,ride_nope,goff_nope,record_present
2025-05-27,4201024,강릉교도소,128.86643612221636,37.745817949506176,5,0,True
2025-05-27,4201023,강릉교도소,128.8655195073396,37.7459157793766,0,7,True
2025-05-27,4200430,강릉국민체육센터,128.89711747432256,37.77640154864734,2,7,True
2025-05-27,4200431,강릉국민체육센터,128.8964868887264,37.776906315186,21,0,True
2025-05-27,4200881,강릉기도원입구,128.8490436050476,37.69867520520206,,,False
2025-05-27,4200880,강릉기도원입구,128.84913047105903,37.69875658463013,,,False
2025-05-27,4201257,강릉녹색도시체험센터,128.90662264590688,37.78655657001431,9,6,True
2025-05-27,4201256,강릉녹색도시체험센터,128.90742209068117,37.786856581754364,12,15,True
2025-05-27,4201038,강릉농협중앙지점,128.90002047054392,37.7602043259228,13,4,True
2025-05-27,4201039,강릉농협중앙지점,128.8996914930678,37.76005119983009,20,11,True
2025-05-27,4200852,강릉대도호부관아,128.8916610029413,37.75117323796815,65,20,True
2025-05-27,4200853,강릉대도호부관아,128.89234522879923,37.75163825691615,15,94,True
2025-05-27,4200146,강릉면허시험장,128.81937813512624,37.79573671702786,,,False
2025-05-27,4200145,강릉면허시험장,128.81940419285692,37.79563172548221,2,0,True
2025-05-27,4200122,강릉문화원,128.8740921031382,37.75789663608161,8,31,True
2025-05-27,4201136,강릉바다내음캠핑장,129.00390469104653,37.71858688540818,,,False
2025-05-27,4201135,강릉바다내음캠핑장,129.0043696849979,37.7181216327924,1,0,True
2025-05-27,4200400,강릉복합복지체육센터,128.87000704257403,37.762859214055275,15,5,True
2025-05-27,4200401,강릉복합복지체육센터,128.87017698555522,37.76290354322161,6,20,True
2025-05-27,4200291,강릉소방서,128.87109869210374,37.758191496775595,6,10,True
2025-05-27,4200548,강릉소방서,128.87119323619314,37.7580009949989,131,14,True
2025-05-27,4200009,강릉솔향수목원,128.86668479243338,37.701851797491,,,False
2025-05-27,4201144,강릉승마장,128.9814636223547,37.728585253094074,,,False
2025-05-27,4201143,강릉승마장,128.98140559088012,37.728642395571235,2,0,True
