sttn_id,sttn_nm,longitude,latitude,coordinate_source,coordinate_retrieved_at,bis_api_name,in_analysis_bbox,annual_2025_ride_nope,annual_2025_goff_nope,annual_record_present,danoje_start,danoje_end,danoje_ride_nope,danoje_goff_nope,danoje_days_with_record,danoje_days_supplied
4201423,조순생가,128.88844816983337,37.713682167259954,https://bis.gn.go.kr/search/station,2026-09-25T06:03:45.938750+00:00,조순생가,False,,,False,2025-05-27,2025-06-03,,,0,8
4200432,종합경기장,128.89654249784542,37.771109941446205,https://bis.gn.go.kr/search/station,2026-09-25T06:03:45.938750+00:00,종합경기장,True,6098,761,True,2025-05-27,2025-06-03,228,18,8,8
4200433,종합경기장,128.89677683645317,37.77125900731557,https://bis.gn.go.kr/search/station,2026-09-25T06:03:45.938750+00:00,종합경기장,True,1785,4801,True,2025-05-27,2025-06-03,28,120,8,8
4200544,종합경기장입구,128.89740621946726,37.770531883728914,https://bis.gn.go.kr/search/station,2026-09-25T06:03:45.938750+00:00,종합경기장입구,True,1041,87,True,2025-05-27,2025-06-03,29,2,8,8
4200292,주공1차아파트,128.88256780330317,37.766843575404636,https://bis.gn.go.kr/search/station,2026-09-25T06:03:45.938750+00:00,주공1차아파트,True,33595,1175,True,2025-05-27,2025-06-03,1091,43,8,8
4200133,주공1차아파트,128.88288690646792,37.76665665089728,https://bis.gn.go.kr/search/station,2026-09-25T06:03:45.938750+00:00,주공1차아파트,True,5397,9246,True,2025-05-27,2025-06-03,109,278,8,8
4200530,주공2차아파트,128.8850454710998,37.768615366200436,https://bis.gn.go.kr/search/station,2026-09-25T06:03:45.938750+00:00,주공2차아파트,True,4197,1541,True,2025-05-27,2025-06-03,115,35,8,8
4200566,주공2차아파트,128.88486622636958,37.76845428049225,https://bis.gn.go.kr/search/station,2026-09-25T06:03:45.938750+00:00,주공2차아파트,True,463,2,True,2025-05-27,2025-06-03,14,0,5,8
4200129,주공3차아파트,128.87933873663175,37.76410589188944,https://bis.gn.go.kr/search/station,2026-09-25T06:03:45.938750+00:00,주공3차아파트,True,11824,12287,True,2025-05-27,2025-06-03,269,301,8,8
4201378,주문10리,128.81057617544894,37.89757955797342,https://bis.gn.go.kr/search/station,2026-09-25T06:03:45.938750+00:00,주문10리,False,348,153,True,2025-05-27,2025-06-03,10,2,5,8
