cid,name,addr,avg,lon,lat,vw_type,vw_status
299,옥계저유소3거리,옥계면 주수리 88-25,16690.354838709678,129.06041349901437,37.61746406272003,PARCEL,OK
3,터미널오거리,홍제동 993-3,44888.3870967742,128.88229102764717,37.7547136863046,PARCEL,OK
300,도직3거리,옥계면 도직리 77-8,5643.774193548387,129.06818888980945,37.60863974159021,PARCEL,OK
305,임당성당교차로,용강동 37-1,17607.09677419355,128.8917744565,37.754549651747006,PARCEL,OK
37,홍제동주민센터앞(구_911),홍제동 97-3,8025.677419354839,128.88325249075586,37.74790528939121,PARCEL,OK
39,남문사거리,남문동 184-26,28700.870967741936,128.88754276421088,37.74823003666731,PARCEL,OK
41,명주예술마당단일로,남문동 129-3,4723.733333333334,128.88975839549485,37.74908871861592,PARCEL,OK
43,객사문사거리,성내동 27-2,31294.967741935485,128.8928330139511,37.752688024237415,PARCEL,OK
53,용지기념각사거리,옥천동 1-2,32143.58064516129,128.9041465410155,37.76022621729545,PARCEL,OK
57,현문주방센터앞,포남동 경강로 2231,20269.74193548387,128.9069398972936,37.7635097583944,ROAD,OK
58,포남1동주민센터부근,포남동 1005,44304.93548387097,128.91160119702096,37.76641056507954,PARCEL,OK
61,원규앤노블리스,포남동 1280,24075.8064516129,128.9182637153188,37.76970787364358,PARCEL,OK
63,강릉이마트앞,송정동 612-11 ,20524.290322580644,128.92219084180098,37.77127975166072,PARCEL,OK
67,국민건강보험공단부근,송정동 172-11,7020.83870967742,128.9291839629998,37.77479265599598,PARCEL,OK
7,적십자사거리,강릉대로 148,35106.87096774193,128.88671573710369,37.756820508015394,ROAD,OK
72,안목사거리,견소동 192-3,21294.93548387097,128.9439371278959,37.77357098003644,PARCEL,OK
77,서희아파트사거리,회산동 195-4,12142.225806451614,128.8666341267023,37.7399595405964,PARCEL,OK
79,회산교남단교차로,회산동 106-5,16975.677419354837,128.86932874719315,37.74210360941083,PARCEL,OK
81,홍제교,회산동 4-8,15775.645161290322,128.8781842335963,37.74431113407123,PARCEL,OK
85,내곡교사거리,내곡동 51-11,21058.55172413793,128.8875913334656,37.746540866912994,PARCEL,OK
86,남산교사거리,노암동 826-9,27242.172413793105,128.89640460689753,37.74885858091045,PARCEL,OK
89,강릉교사거리,노암동 265-2,41998.90322580645,128.90396675423932,37.75301058854977,PARCEL,OK
900,삼일운동기념탑삼거리,저동 140-2,8030.322580645161,128.89638097564196,37.79281375913982,PARCEL,OK
902,강릉통일공원앞,강동면 안인진리 산46-13,1924.548387096774,129.0035397158881,37.71915324333971,PARCEL,OK
903,경포인공폭포삼거리,안현동 48-7,15051.129032258064,128.90238975982544,37.80914176900415,PARCEL,OK
904,대전육교북단,대전동 497-3,5510.612903225807,128.85137700100708,37.79076790967719,PARCEL,OK
905,순긋해변입구,안현동 산71-4,6216.129032258064,128.8935131251544,37.81585949931812,PARCEL,OK
906,유천교북단,유천동 576,8687.774193548386,128.8537913457261,37.770388119381046,PARCEL,OK
907,안인삼거리,강동면 안인진리 13-34,1591.967741935484,128.99012561635743,37.7329501682823,PARCEL,OK
910,샌드파인GC입구삼거리,안현동 699-6,8251.935483870968,128.87529802233564,37.79484517147876,PARCEL,OK
92,강원영동병무지청앞,노암동 224-6,13132.225806451614,128.90764536269663,37.74915382822648,PARCEL,OK
94,입암주공1단지(구_908),입암동 639-81,31353.67741935484,128.9059274767067,37.7546181100539,PARCEL,OK
95,입암지하차로,입암동 629-81,23192.74193548387,,,,NOT_FOUND
99,강릉중앙고앞삼거리,입암동 570-3,19281.172413793105,128.91058009967887,37.75877108588159,PARCEL,OK
