edge_id,dsi,width,rclass,btw,d_center,length,aadt_hat
1036,1.6565,5.0,4.0,0.0023903826266804553,1365.1647492195857,19.994783550264042,21500.544307636108
1037,1.2802,3.0,4.0,0.00018665977249224404,1380.5133313442082,104.5306192154823,21018.505898412346
1039,1.8455,3.0,4.0,0.00035573940020682524,1311.4178855705566,203.84052193893254,21502.53971470985
1041,1.7629,3.0,4.0,0.002132368148914168,1404.8112748537008,20.075821282226514,20709.578806221223
1042,1.6347,7.0,4.0,0.014150465356773527,1056.1190975367829,34.94166014853941,24776.00163871509
1043,1.4714,7.0,4.0,0.001268872802481903,1104.4002691626818,59.96312848252098,24409.725869650905
1044,1.5072,7.0,4.0,0.00023371251292657707,1191.460376059415,163.9020552753288,23648.60423427169
1045,1.4432,3.0,4.0,0.00610376809720786,1124.2936196255203,34.831069227583434,22966.02806557848
1048,1.4108,6.0,4.0,0.0301605480868666,1188.9474380176875,234.90757169365563,23087.69650249007
1049,1.5437,6.0,4.0,0.006023526370217167,1116.7019395956938,89.88752192001785,23890.573944449447
1050,1.8022,6.0,4.0,0.005993536711478801,1075.1469449251722,24.908282671822157,24326.85953333942
1051,1.7522,6.0,4.0,0.0004331326636135323,1067.4845625586534,64.88506184324628,24581.376711525514
1052,1.7301,6.0,4.0,6.514994829369183e-05,1027.7078715627713,74.94980194401415,25157.163181509033
1054,1.7919,6.0,4.0,0.01767864529472596,1078.4625026805918,39.99234363822371,24221.290560459845
1055,1.5435,6.0,4.0,0.012952005466095437,1042.4776667870303,64.99447931919606,24636.85561743243
1056,1.5982,6.0,4.0,0.012597724922440538,989.7577094428465,89.96959903894711,25256.017022635035
1058,1.4272,12.0,4.0,0.03340098241985522,847.9602871975889,75.00970175140598,29154.43123561097
1059,1.4775,12.0,4.0,0.032572475008617714,830.9289191045308,10.115109915915708,29439.849236452872
1060,1.4348,12.0,4.0,0.02912309332988625,822.4969828823089,34.99774292476249,29592.206526850336
1061,1.3405,12.0,4.0,0.02885031023784902,814.4180665954987,15.019258999774905,29732.574141416753
1062,1.3196,12.0,4.0,0.02933609100310238,804.181308830978,60.01333626949155,29911.12967717012
1064,1.6094,3.0,4.0,0.00020682523267838678,1018.9853346387448,119.7276516167008,24286.702983276817
1065,1.4646,9.0,4.0,0.0014565667011375387,987.2660471128107,65.00205542102445,26369.65499255395
1066,1.5416,9.0,4.0,0.001771716649431231,967.29934450678,39.92213642740498,26613.945761451247
