edge_id,case,dsi,aadt,length,width,rclass,tp_dist
272,0,1.6457,42075.78082191781,55.04223949877727,8.0,4.0,192.4171049019704
273,0,1.5525,42075.78082191781,60.04446041608091,8.0,4.0,145.32749589967176
274,0,1.4714,42075.78082191781,64.99303432605834,8.0,4.0,112.96885682504185
276,0,1.5049,19718.77808219178,54.99405669293628,8.0,4.0,138.86521769652109
277,0,1.6506,19718.77808219178,44.97589210876319,8.0,4.0,164.22704693912578
278,0,1.5902,19718.77808219178,65.00628050266704,8.0,4.0,203.14628874833258
279,0,1.4431,30310.46301369863,133.85882671820684,8.0,4.0,305.3171830382645
280,0,1.4036,30310.46301369863,29.89531331103182,8.0,4.0,363.74716951067745
281,0,1.2634,19652.534246575346,85.01046917411175,8.0,4.0,334.5721937173606
282,0,1.5009,30310.46301369863,50.03453307329646,6.0,4.0,254.06991104747212
283,0,1.4834,30310.46301369863,20.030712996980114,6.0,4.0,284.15030557969135
284,0,1.5147,30310.46301369863,74.21294022974772,6.0,4.0,320.29203710840267
285,0,1.2921,30310.46301369863,85.02711471086023,6.0,4.0,390.3146066860852
294,0,1.2146,16735.476712328767,160.06594734649303,3.0,4.0,80.18561001777262
295,0,1.1588,16735.476712328767,324.8984289173035,3.0,4.0,324.57320411132054
296,0,1.216,7928.208219178082,210.00376141242447,3.0,4.0,215.5497183835351
297,0,1.3977,7928.208219178082,219.95765491053834,3.0,4.0,297.94130899513254
298,0,1.9241,7928.208219178082,24.713253629349836,3.0,4.0,418.25955486922595
299,0,1.7442,7928.208219178082,19.699400427698528,3.0,4.0,423.5148925723077
300,0,1.5884,7928.208219178082,39.796649324514966,3.0,4.0,435.535223867484
301,0,1.2989,11876.054794520547,158.73766030276184,3.0,4.0,479.503289801308
303,0,1.334,16735.476712328767,543.1576143069449,3.0,4.0,266.51665867020955
304,0,1.2541,11876.054794520547,104.91779821179234,3.0,4.0,353.360229572003
305,0,1.2814,11876.054794520547,159.7208208454202,3.0,4.0,452.5675366360782
306,0,1.5085,11876.054794520547,40.00304755125737,3.0,4.0,488.57807381696244
307,0,1.2468,11876.054794520547,89.97083465813262,3.0,4.0,145.85826847896908
308,0,1.1526,11876.054794520547,35.050151628388186,3.0,4.0,208.4561330909888
309,0,1.4519,11876.054794520547,164.93805982655303,3.0,4.0,312.0195664443414
310,0,1.4023,11876.054794520547,209.71803963606297,3.0,4.0,499.0774125134608
313,0,1.2252,11876.054794520547,129.5008485094661,3.0,4.0,79.25441639834534
314,0,1.3889,11876.054794520547,403.41819496070264,3.0,4.0,303.4082350332391
315,0,1.3998,11876.054794520547,64.97072617398452,3.0,4.0,483.3928551177215
317,1,1.467,7928.208219178082,288.9264595152927,3.0,4.0,221.38895036733072
319,1,1.4568,43406.35616438357,74.76628658046364,8.0,4.0,92.88216358542088
320,1,1.2822,43406.35616438357,44.98152534084485,8.0,4.0,131.69012094700992
321,0,1.2832,43406.35616438357,15.060700671159713,8.0,4.0,156.47019773118421
322,0,1.4016,43406.35616438357,60.07556809958133,8.0,4.0,193.09194802370308
323,0,1.3253,33765.32602739726,130.0364162537038,8.0,4.0,215.8985353613013
324,0,1.4682,33765.32602739726,44.908885513999735,8.0,4.0,146.64492752201514
325,1,1.3672,33765.32602739726,59.97300703789251,8.0,4.0,112.60174521848063
326,1,1.6294,33765.32602739726,50.010326400473744,8.0,4.0,87.95481314492278
327,0,1.4428,43406.35616438357,54.94691572982025,8.0,4.0,199.10326998001847
328,0,1.2921,43406.35616438357,5.039977821639201,8.0,4.0,216.47765365184458
329,0,1.2994,43406.35616438357,20.051670953795423,8.0,4.0,226.91642147361972
330,0,1.2959,43406.35616438357,25.03535125454079,8.0,4.0,242.07576711166064
331,0,1.4447,43406.35616438357,25.019355546722352,8.0,4.0,261.1238320164746
332,0,1.3644,33765.32602739726,129.95957308427944,8.0,4.0,273.8042672398484
333,0,1.4683,33765.32602739726,50.024102908730825,8.0,4.0,221.67318005450963
334,0,1.4136,33765.32602739726,49.99152273496619,8.0,4.0,204.55744179659916
335,0,1.5341,33765.32602739726,24.987935648858873,8.0,4.0,199.8832777343764
336,0,1.4912,33765.32602739726,4.997583144895445,8.0,4.0,200.3893796961318
337,0,1.4716,33765.32602739726,55.03387432672644,8.0,4.0,195.13897194735966
339,0,1.2689,19821.895316804406,179.84783722017448,4.0,4.0,206.52771743006184
340,0,1.2581,19821.895316804406,59.95312952620164,4.0,4.0,293.63278432300234
341,0,1.2117,16320.223880597016,139.99089939690103,4.0,4.0,363.17316834751995
342,0,1.3462,16320.223880597016,179.97558406562388,4.0,4.0,259.0436571514941
344,1,1.5342,33765.32602739726,55.00829767212339,5.0,4.0,80.49986207384272
345,1,1.4693,33765.32602739726,129.90699763671424,5.0,4.0,116.0621174525334
346,1,1.4274,33765.32602739726,184.86967770003383,6.0,4.0,78.68885060601986
347,0,1.6902,33765.32602739726,29.951150504987723,6.0,4.0,188.5972179404967
348,0,1.4527,43406.35616438357,34.9062710107837,4.0,4.0,207.26643958691633
349,0,1.6448,43406.35616438357,9.965769212089164,4.0,4.0,221.78987891338755
350,0,1.7067,33765.32602739726,19.992004647795778,4.0,4.0,219.98025413510365
351,0,1.6138,33765.32602739726,10.027372356435142,4.0,4.0,208.64249720241634
352,0,1.7528,33765.32602739726,20.01649096619681,4.0,4.0,197.74105250802737
