point_id,dsi_refined,dsi_veh,road_occluded_frac,road_occluded_frac_veh,veh_blocked_fwd,veh_blocked_bwd,road_domain_m2,valid,sight_flag,sight_flag_veh,confidence,veh_extra_occ,dsi_veh_delta
10179,1.4329,1.5269,0.246,0.3277,0.341,0.317,1114.5,True,False,False,1,0.0817,0.09399999999999986
1017,1.3615,1.5497,0.1839,0.3476,0.268,0.341,930.0,True,False,False,1,0.1637,0.18820000000000014
10180,1.4254,1.5135,0.2395,0.3161,0.22,0.024,1109.8,True,False,False,1,0.0766,0.08810000000000007
10182,1.2908,1.419,0.1225,0.2339,0.073,0.244,1085.0,True,False,False,1,0.1114,0.1282000000000001
10184,1.1897,1.3202,0.0345,0.148,0.0,0.415,1075.8,True,False,False,2,0.11349999999999999,0.13050000000000006
10187,1.401,1.5411,0.2183,0.3401,0.415,0.268,1150.5,True,False,False,1,0.12180000000000002,0.1400999999999999
10190,1.5108,1.6341,0.3138,0.4209,0.073,0.317,1343.5,True,False,False,2,0.10709999999999997,0.12330000000000019
10191,1.6378,1.6963,0.4241,0.4751,0.073,0.317,1563.5,True,False,False,1,0.051000000000000045,0.058499999999999996
10193,1.228,1.5922,0.0678,0.3845,0.244,0.39,1574.0,True,False,False,2,0.3167,0.3642000000000001
10195,1.1635,1.4843,0.0118,0.2907,0.146,0.512,1629.8,True,False,False,2,0.27890000000000004,0.3208
10198,1.4431,1.6821,0.2549,0.4627,0.146,0.244,1741.0,True,False,False,2,0.20779999999999998,0.23899999999999988
10199,1.6561,1.8161,0.4401,0.5792,0.171,0.293,1660.5,True,False,False,2,0.13910000000000006,0.16000000000000014
101,1.2836,1.2836,0.1162,0.1162,0.0,0.0,777.0,True,False,False,1,0.0,0.0
10201,1.6097,1.7794,0.3998,0.5473,0.073,0.39,1605.5,True,False,False,2,0.14750000000000002,0.16970000000000018
10203,1.1625,1.4367,0.0109,0.2493,0.341,0.341,1396.0,True,False,False,2,0.2384,0.2742
10205,1.3825,1.676,0.2022,0.4574,0.268,0.195,1521.8,True,False,False,1,0.2552,0.29349999999999987
10207,1.5944,1.6891,0.3865,0.4688,0.195,0.244,1534.8,True,False,False,2,0.08229999999999998,0.0947
10209,1.5701,1.6869,0.3653,0.4669,0.146,0.366,1536.8,True,False,False,1,0.10159999999999997,0.11680000000000001
1020,1.1549,1.3778,0.0042,0.1981,0.585,0.439,956.5,True,False,False,2,0.1939,0.22289999999999988
10213,1.1529,1.3079,0.0025,0.1373,0.268,0.512,1390.8,True,False,False,2,0.1348,0.15500000000000003
10215,1.2843,1.6245,0.1168,0.4126,0.146,0.366,1505.8,True,False,False,2,0.2958,0.34020000000000006
10216,1.6532,1.7862,0.4376,0.5532,0.512,0.341,1603.8,True,False,False,2,0.11560000000000004,0.133
10218,1.5904,1.7039,0.383,0.4817,0.244,0.317,1669.8,True,False,False,0,0.09870000000000001,0.11349999999999993
10220,1.3025,1.4945,0.1326,0.2996,0.049,0.024,1867.5,True,False,False,2,0.16699999999999998,0.19199999999999995
10224,1.5741,1.8031,0.3688,0.5679,0.293,0.122,2221.2,True,False,False,2,0.19909999999999994,0.22899999999999987
10225,1.7294,1.8606,0.5039,0.6179,0.146,0.0,2351.0,True,False,False,2,0.11399999999999999,0.13119999999999998
10227,1.3202,1.3887,0.148,0.2075,0.049,0.0,2267.0,True,False,False,2,0.0595,0.0685
10228,1.2782,1.4713,0.1115,0.2793,0.317,0.146,937.0,True,False,False,0,0.1678,0.19310000000000005
10229,1.6409,1.7487,0.4269,0.5206,0.0,0.537,995.5,True,False,False,2,0.09369999999999995,0.1077999999999999
1022,1.4087,1.6921,0.2249,0.4714,0.488,0.317,1052.8,True,False,False,1,0.2465,0.2833999999999999
10230,1.6348,1.8035,0.4216,0.5683,0.317,0.439,913.8,True,False,False,2,0.14670000000000005,0.16870000000000007
10232,1.6691,1.8087,0.4514,0.5728,0.659,0.244,865.5,True,False,False,2,0.12139999999999995,0.13959999999999995
10234,1.3299,1.5351,0.1564,0.3349,0.488,0.293,768.2,True,False,False,1,0.17849999999999996,0.20519999999999983
10236,1.1624,1.306,0.0108,0.1356,0.22,0.293,637.8,True,False,False,0,0.1248,0.14359999999999995
