cid,name,aadt,n,dsi,dsi_p90,road_class,width,q
197,분수공원사거리,33321.14246575342,204,1.234039705882353,1.38277,3.4607843137254903,18.691176470588236,Q4(많음)
199,부영1차아파트사거리,14981.53021978022,222,1.2380734234234234,1.43896,2.9234234234234235,23.128783783783785,Q2
2,홍제교차로,31584.86301369863,159,1.3139509433962264,1.63332,2.893081761006289,21.89937106918239,Q4(많음)
20,포남오거리,31519.065753424657,282,1.418467730496454,1.7101899999999999,3.606382978723404,14.260953900709222,Q4(많음)
201,강릉문화원4거리,17097.982578397212,115,1.2290095652173911,1.38684,2.739130434782609,25.269947826086955,Q2
202,한국수자원공사사거리,30720.397260273974,236,1.2515372881355933,1.4687999999999999,3.6313559322033897,16.01271186440678,Q4(많음)
207,부영5단지,33608.82739726028,179,1.224049720670391,1.4174600000000004,3.4860335195530725,18.849162011173185,Q4(많음)
209,롯데시그니쳐앞교차로,13836.471232876713,83,1.3217132530120483,1.60926,3.1686746987951806,19.120481927710845,Q2
210,강일여고,19821.895316804406,109,1.372337614678899,1.79776,3.532110091743119,14.53211009174312,Q3
217,커피박물관사거리,19199.1397260274,142,1.2002711267605637,1.28452,3.204225352112676,9.06338028169014,Q2
22,한솔초앞,29454.12328767123,245,1.4222514285714285,1.8037599999999996,3.7142857142857144,13.66530612244898,Q3
222,송정해변입구사거리,12458.46301369863,105,1.2277209523809525,1.4031400000000003,3.2095238095238097,10.17142857142857,Q1(적음)
224,신도브래뉴아파트삼거리,10168.14794520548,128,1.25396640625,1.50821,3.375,9.9375,Q1(적음)
227,유천초등학교진입부사거리,25424.997260273973,169,1.2093130177514793,1.3408,2.923076923076923,23.11543195266272,Q3
229,사임당공원입구사거리,21965.161643835618,178,1.2147213483146067,1.35798,3.595505617977528,16.161606741573035,Q3
236,선수촌삼거리,19971.712328767124,102,1.2796225490196083,1.6336700000000002,3.235294117647059,19.80392156862745,Q3
237,장안교차로,7928.208219178082,92,1.317629347826087,1.6242300000000003,3.2717391304347827,13.5,Q1(적음)
248,내곡육교,30598.564383561643,151,1.3251357615894042,1.6876,3.3245033112582782,17.582781456953644,Q4(많음)
249,보리사입구4거리,13780.117318435754,161,1.350927950310559,1.6345,3.248447204968944,13.91304347826087,Q1(적음)
250,노암한라4차삼거리,19625.87123287671,157,1.316576433121019,1.66234,3.4012738853503186,17.27464968152866,Q2
251,노암하나로마트4거리,19708.641666666666,165,1.3135503030303028,1.6052199999999999,3.466666666666667,15.578424242424243,Q2
256,강릉중앞,19652.534246575342,88,1.2121079545454545,1.28484,3.3181818181818183,17.295454545454547,Q2
260,6주공오거리,20545.254794520548,149,1.2329758389261745,1.4081000000000001,3.120805369127517,16.993288590604028,Q3
266,반갓마을입구삼거리,11245.60989010989,114,1.3339614035087717,1.71221,3.5701754385964914,17.833333333333332,Q1(적음)
268,공항대교남단,9849.424657534246,80,1.25108375,1.5062100000000005,3.325,19.325,Q1(적음)
29,강릉고등학교진입부사거리,15159.46301369863,104,1.223223076923077,1.39104,3.2115384615384617,17.442307692307693,Q2
3,터미널오거리,43406.356164383564,280,1.3636175000000001,1.6587800000000001,3.525,13.475,Q4(많음)
305,임당성당교차로,17246.194520547946,276,1.5166489130434784,1.8221,3.6920289855072466,9.083333333333334,Q2
37,홍제동주민센터앞(구_911),7964.375342465753,206,1.3259218446601941,1.6354,3.3883495145631066,11.655339805825243,Q1(적음)
39,남문사거리,28633.194520547946,137,1.2753620437956206,1.49162,3.2627737226277373,10.749160583941606,Q3
41,명주예술마당단일로,12043.954385964913,139,1.3934827338129496,1.76494,3.683453237410072,8.762589928057555,Q1(적음)
43,객사문사거리,32777.45479452055,252,1.509552380952381,1.86635,3.7063492063492065,9.833333333333334,Q4(많음)
53,용지기념각사거리,31211.101369863012,233,1.4712536480686695,1.80272,3.6909871244635193,11.317596566523605,Q4(많음)
57,현문주방센터앞,19718.77808219178,321,1.4874227414330217,1.7998,3.9003115264797508,9.623052959501557,Q2
58,포남1동주민센터부근,42311.260273972606,304,1.4646950657894735,1.74826,3.776315789473684,10.414473684210526,Q4(많음)
61,원규앤노블리스,22843.435616438357,273,1.3909271062271065,1.68486,3.8864468864468864,8.542124542124542,Q3
63,강릉이마트앞,18789.783561643835,126,1.2388928571428572,1.4239000000000002,3.5476190476190474,9.484126984126984,Q2
67,국민건강보험공단부근,6777.397260273972,106,1.253757547169811,1.48455,3.5377358490566038,10.190160377358492,Q1(적음)
7,적십자사거리,33765.32602739726,321,1.4942641744548288,1.8175,3.6137071651090342,11.847352024922118,Q4(많음)
72,안목사거리,18747.80821917808,101,1.1679118811881188,1.1927,3.0594059405940595,16.89108910891089,Q2
77,서희아파트사거리,11876.054794520547,149,1.254212080536913,1.4513200000000004,3.557046979865772,14.013422818791947,Q1(적음)
79,회산교남단교차로,16735.476712328767,125,1.2229671999999998,1.3710600000000002,3.568,12.152,Q2
81,홍제교,15328.780821917808,76,1.1882394736842108,1.2591999999999999,3.276315789473684,10.131578947368421,Q2
85,내곡교사거리,20639.41597796143,202,1.3856717821782178,1.7340300000000002,3.702970297029703,9.968886138613861,Q3
86,남산교사거리,27573.70523415978,123,1.328906504065041,1.63082,3.4634146341463414,13.317073170731707,Q3
89,강릉교사거리,41638.88493150685,124,1.3554467741935485,1.71627,3.5080645161290325,12.080645161290322,Q4(많음)
900,삼일운동기념탑삼거리,6793.509589041096,76,1.2656894736842104,1.5066,3.0,7.855263157894737,Q1(적음)
903,경포인공폭포삼거리,12466.791780821917,70,1.2470485714285713,1.43699,3.3285714285714287,10.357142857142858,Q1(적음)
92,강원영동병무지청앞,12818.235616438356,141,1.3785978723404255,1.6846,3.602836879432624,12.702127659574469,Q1(적음)
94,입암주공1단지(구_908),30310.46301369863,102,1.3716529411764706,1.7366000000000001,3.7058823529411766,8.519607843137255,Q3
99,강릉중앙고앞삼거리,19113.699724517905,81,1.256916049382716,1.4396,3.2962962962962963,11.679012345679013,Q2
