point_id,dsi_refined,dsi_static_n,v_pt,v_norm,veh_extra_occ,p_norm,p_resid,dsi_dynamic,dsi_t,d_near
22698,1.7651,0.7088226583557758,7443.663202411335,0.46605127295912635,0.0256999999999999,0.08080388864783952,0.47267019928579657,0.47003586660778185,0.5536112437195797,307.81212720305314
22701,1.8774,0.8382337858689505,7450.057715315055,0.4666877459710845,0.0156,0.04904827482125687,0.40965902545789656,0.43235645622214536,0.5744135215985271,308.99920676144785
22707,1.1749,0.0286940077923247,7462.382014621117,0.467914435793704,0.0604,0.1899048589233279,0.651163460430826,0.5782303486252514,0.38589262933372703,312.3489367234825
22721,1.4546,0.35101183829486154,7405.517255711349,0.4622544449668006,0.0,0.0,0.09993088353876281,0.24413566098712186,0.28154232304483073,289.68123900776396
22722,1.4916,0.3936495205565487,7400.707261836515,0.4617756858595612,0.0045999999999999,0.014462952831908764,0.32631609261605804,0.3802290107269723,0.384926189167324,287.96493712608145
22725,1.2775,0.14692714833419207,7386.885515127511,0.4603999487407443,0.0,0.0,0.10059324962561916,0.24379631587343897,0.20989210723470259,282.97248573162784
22727,1.1916,0.04793858329962662,7371.541209337609,0.45887266485383194,0.0,0.0,0.1009100334062896,0.24337916072241148,0.17497495862443677,277.1079003230068
22729,1.15,0.0,7356.050012855562,0.45733076031282677,0.0,0.0,0.1013708098145375,0.24304287011285663,0.15797786557335683,271.2156862658636
22731,1.15,0.0,7341.495552439345,0.4558820930885969,0.0,0.0,0.10165879506969243,0.24263966768121642,0.15771578399279068,265.7900638251259
22734,1.15,0.0,7322.295705957192,0.45397105087105444,0.0043,0.013519716777654137,0.3262296970395116,0.3770707558644657,0.2450959913119027,258.9090528049973
22741,1.15,0.0,7276.273053566045,0.44939022092720476,0.0121,0.03804385418828257,0.39255270130169334,0.41517403411264686,0.26986312217322045,242.40704614667854
22743,1.7527,0.6945332729491565,7082.079864539419,0.430061348535749,0.1110999999999999,0.3493117520924124,0.8321909918212188,0.6721433937936019,0.679979851498046,344.64897123671864
22745,1.8835,0.8452632415931746,7516.26387757583,0.4732775263247665,0.0171,0.05376445509253157,0.4162538878009446,0.4389492959334257,0.5811591769143378,335.01481855246186
22747,1.8063,0.7563002937390599,7521.064809463431,0.47375538345395135,0.0369,0.1160180346733576,0.5321103559497754,0.5088850768964375,0.5954804027913553,325.71944235036096
22749,1.6344,0.5582079266908437,7525.685780947149,0.47421532836026375,0.0595999999999999,0.18738956277864774,0.6454325538532427,0.5772880981070371,0.5706100381113695,316.4670308270106
