point_id,dsi_refined,dsi_static_n,v_pt,v_norm,veh_extra_occ,p_norm,p_resid,dsi_dynamic,dsi_t,d_near,disp,dyn_conf
85797,1.2565,0.12272738272620738,3662.2598957501673,0.08967215100618718,0.0369999999999999,0.11633244669144227,0.6239488538186845,0.41130672609931057,0.31030395591872445,29.546240758131372,4.361925912765391,1
85799,1.3478,0.22793874463139752,3659.265645415555,0.08937412056075349,0.0103,0.032384437862752934,0.4608052067734132,0.3129756344607746,0.2832127230204926,28.911900293198087,4.361925912765391,1
85801,1.1526,0.00299616145622684,3667.183215160213,0.09016218988497661,0.0251,0.07891741653932996,0.556013132127635,0.370604457115057,0.24194155363446646,31.57366000180186,4.361925912765391,1
85804,1.1563,0.007259929682395588,3692.0659635856587,0.0926388754550261,0.0006,0.0018864721085098794,0.3465038590024191,0.24546559555055666,0.1620936124967003,39.89163147252111,4.361925912765391,1
85807,1.1616,0.013367489573934384,3724.1261789600776,0.09582996477654585,0.0,0.0,0.22267019928579657,0.17218778595111478,0.11660068221910164,51.33993102033821,4.361925912765391,1
85809,1.1585,0.00979514322227966,3746.426756111055,0.09804963587916087,0.0,0.0,0.2220942287754867,0.17272448080274902,0.11569921264958474,59.91607724943637,4.361925912765391,1
85810,1.1532,0.003687583330740608,3757.5343824637357,0.09915522507834487,0.0,0.0,0.22180624352033176,0.172991138180421,0.11373489398303287,64.40480900656146,4.361925912765391,1
85814,1.1585,0.00979514322227966,3612.9747298414272,0.08476658924361091,0.0,0.0,0.2260396267711093,0.16981295783516495,0.1138067227206551,82.94668084914682,3.255953332741109,1
85815,1.1539,0.004494242184340004,3615.011021476385,0.08496926999344138,0.0,0.0,0.22595323119456284,0.1698416146365165,0.11197003427825473,87.68235269488771,3.255953332741109,1
85817,1.1513,0.00149808072811342,3618.774356928542,0.08534385074514331,0.0,0.0,0.22580923856698537,0.16990401421389223,0.11096193749386965,97.23312807101166,3.255953332741109,1
85820,1.1538,0.004379005205254376,3623.6536502624167,0.08582950752169488,0.0,0.0,0.22557885036286143,0.16995861191207715,0.11200574956468919,111.70680608192077,3.255953332741109,1
85825,1.1507,0.0008066588535996519,5581.672044040037,0.2807193894127724,0.0615,0.19336339112226267,0.7060822485888723,0.5367878306367845,0.3491944205126698,26.477033957860748,12.754836138446917,1
85827,1.1592,0.010601802075879055,5501.615609901772,0.2727510327091738,0.0517,0.16255101334993463,0.6630572514687249,0.5077153764024235,0.333725625388133,22.00394524234711,12.754836138446917,1
85828,1.1529,0.003341872393483724,5487.608900773411,0.2713568854956523,0.1122,0.3527702842913475,0.8742944361248705,0.6343252909744416,0.4134810944711063,21.230726453302925,12.754836138446917,1
